dim,initial_distance,final_distance,ideal_distance,approximating_rate
2,31.896,0.071559,0.057191,0.99955
4,12.613,0.27015,0.2,0.99435
6,29.693,0.39017,0.30015,0.99694
8,61.756,0.4664,0.37146,0.99845
10,37.807,0.48755,0.42504,0.99833
15,52.215,0.61624,0.51588,0.99806
20,56.106,0.66551,0.57408,0.99835
30,111.31,0.75642,0.64663,0.99901
40,221.99,0.79779,0.69149,0.99952
50,231.22,0.86035,0.7227,0.9994
60,198.92,0.8749,0.74603,0.99935
70,285.21,0.89431,0.76432,0.99954
80,362.79,0.90545,0.77915,0.99965
90,408.8,0.93993,0.7915,0.99964
100,452.19,0.95958,0.80198,0.99965
120,541.59,1.0138,0.81893,0.99964
140,643.15,1.0016,0.83217,0.99974
160,734.21,1.056,0.84287,0.99971
180,834.51,1.0165,0.85175,0.9998
200,976.68,1.0786,0.85928,0.99978
